# omch2 ombh2 h ns 10^9As b0 loglike weights
1.535779488962578654e-01 2.784533488474035673e-02 6.341583379820451283e-01 9.987577532922234935e-01 2.216012987968124293e+00 2.407191517002384540e+00 0.000000000000000000e+00 -1.653567731759625021e+06
8.705736364351530920e-02 2.469528809976291595e-02 6.104461344388629751e-01 9.782665967896702064e-01 2.891181474498834003e+00 2.333353084852588299e+00 0.000000000000000000e+00 -8.689674659615069395e+05
1.231119940538093344e-01 1.983690205018026620e-02 6.540521902541482913e-01 9.391482818004152078e-01 2.543394929802624382e+00 1.712356498439592034e+00 0.000000000000000000e+00 -7.629764451118303696e+05
1.283170571401629489e-01 2.389530748843392630e-02 6.862121804104261980e-01 9.949819061365314798e-01 2.268211303673218104e+00 5.783188264129532907e-01 0.000000000000000000e+00 -6.135441325723059708e+05
1.108672081753690752e-01 2.107050294940683230e-02 7.478566968256799008e-01 9.738809918133464194e-01 2.833270861055984025e+00 1.732979662659043907e+00 0.000000000000000000e+00 -7.595839947521553840e+05
1.041178965652244243e-01 2.923002313732447552e-02 6.370274601373765444e-01 9.409586899061715970e-01 2.646030008968726310e+00 2.366381810722388845e+00 0.000000000000000000e+00 -1.012278013482968905e+06
9.077129982126355690e-02 1.955281620400530287e-02 7.334159172403614813e-01 9.524947601347815151e-01 2.161921809810380957e+00 4.439708184549076009e-01 0.000000000000000000e+00 -3.302265109188347124e+06
1.080423754803688519e-01 1.926898992010555103e-02 7.064754958175309962e-01 9.671116613348295088e-01 2.425054504977103953e+00 1.791507204602470260e+00 0.000000000000000000e+00 -6.388008567244624719e+05
1.218667331620010563e-01 2.878749151814501139e-02 7.211441157258026147e-01 9.264770112160378712e-01 2.476458504613038958e+00 1.867102733723549512e+00 0.000000000000000000e+00 -7.429091439905620646e+05
1.288147383234460042e-01 1.657789351080166812e-02 6.133748609220966985e-01 9.979693208831721396e-01 2.162430524947716481e+00 2.032232026252681401e+00 0.000000000000000000e+00 -1.095535560091017513e+06
1.536921068510755939e-01 2.928058939119504434e-02 7.311426576795058141e-01 9.555639879376867096e-01 2.230568820475455460e+00 4.632150252535891521e-01 0.000000000000000000e+00 -1.073540574973498005e+06
1.469533286138557659e-01 1.908158900639388839e-02 6.712875178637072171e-01 9.824386364603170385e-01 2.863467645730090716e+00 2.051844035454547743e+00 0.000000000000000000e+00 -1.730237570928060450e+06
1.107257027820251621e-01 2.949773768774883315e-02 7.182345974908047603e-01 9.404090055037427343e-01 2.742059635062578771e+00 2.023465851081672540e+00 0.000000000000000000e+00 -8.594478530296906829e+05
1.336064574756918588e-01 1.877687161269622762e-02 6.568962325910859823e-01 9.395269752924357842e-01 2.509223476980669609e+00 2.007858580867685205e+00 0.000000000000000000e+00 -1.270114933801728068e+06
1.033120260499105630e-01 2.554610973556382253e-02 6.675190216992581416e-01 9.914545465508283195e-01 2.373606480033491728e+00 2.084591378826124775e+00 0.000000000000000000e+00 -7.175458753416509135e+05
1.441073387593097554e-01 2.192298026019099538e-02 6.879693435927950462e-01 9.387695784492676720e-01 2.876050080040715162e+00 1.597287209695990029e+00 0.000000000000000000e+00 -9.896928767583421431e+05
1.007576338712231068e-01 2.510246222750905226e-02 6.332505737542037938e-01 9.330480457832733832e-01 2.125224556050792302e+00 4.214441895976126506e-01 0.000000000000000000e+00 -3.717755368758249097e+06
1.585434792323688336e-01 1.880602569840312405e-02 7.198030116933886724e-01 9.335366424763583693e-01 2.147562910015422322e+00 1.878764459072100657e+00 0.000000000000000000e+00 -1.229731248993218411e+06
1.328452243312068237e-01 2.828920676569746107e-02 6.383216398253178658e-01 9.390330517328855375e-01 2.778262898902438938e+00 4.063516328243350628e-01 0.000000000000000000e+00 -1.706861649666666519e+06
1.240126190144063278e-01 2.428662035974489541e-02 7.021817187838690355e-01 9.650272531865834447e-01 2.422148767222234156e+00 4.841205841882110228e-01 0.000000000000000000e+00 -1.220239445879206993e+06
1.400355004953747207e-01 2.948223981760470999e-02 6.522360262673234654e-01 9.583671427907420881e-01 2.737399692594884915e+00 1.582851476007921754e+00 0.000000000000000000e+00 -7.265550009312413167e+05
9.104022186863060251e-02 1.694476413374838841e-02 6.880146381049290216e-01 9.983811232526432766e-01 2.476181572888306537e+00 2.636571993527139779e-01 0.000000000000000000e+00 -6.746666420605713502e+06
1.397567991352336170e-01 2.239673530496763196e-02 6.557141035128081219e-01 9.967555463347624878e-01 2.181335221418600145e+00 5.150066860063912122e-01 0.000000000000000000e+00 -8.253212155230006902e+05
1.310971485837357231e-01 1.712790001723575942e-02 6.492192199760146165e-01 9.345458245967671607e-01 2.542449309977912186e+00 2.136175597500113543e+00 0.000000000000000000e+00 -1.437230760655226186e+06
1.233072907383110928e-01 2.494111542237323342e-02 6.453819779794356393e-01 9.853393338560179071e-01 2.849211489033528721e+00 1.526131008303456937e+00 0.000000000000000000e+00 -5.973908767414262984e+05
8.652777535966962863e-02 2.246249953030207344e-02 6.333622165579009256e-01 9.283897152940265851e-01 2.165406791041911916e+00 2.395121209751731151e+00 0.000000000000000000e+00 -5.869996163467264269e+05
1.171562940649685525e-01 1.801565561534371890e-02 6.856152071947227977e-01 9.489060792850243509e-01 2.580413412615681690e+00 4.298181557584932477e-01 0.000000000000000000e+00 -1.566321017098684097e+06
1.029550321454064526e-01 2.510022633176635723e-02 6.815151582320719825e-01 9.272985699284265193e-01 2.405854516694810208e+00 2.480504061227760459e+00 0.000000000000000000e+00 -1.077627820189616643e+06
8.421042467142092480e-02 2.142816646064485755e-02 7.487757651084027133e-01 9.897300594706437415e-01 2.177964983820195322e+00 4.751569928577942248e-01 0.000000000000000000e+00 -3.362064235130807385e+06
1.570778818878367233e-01 2.886264687867756001e-02 6.492640542027281469e-01 9.317794373019563370e-01 2.748390967813397090e+00 2.415494754212435424e+00 0.000000000000000000e+00 -1.964081678208790254e+06
1.078790873392313637e-01 2.140934921402723456e-02 6.718975411072680703e-01 9.229938582799182001e-01 2.770463232429636768e+00 1.745833025328815014e+00 0.000000000000000000e+00 -6.589700861273312476e+05
8.095003879764597898e-02 1.605870177766813983e-02 6.206287493077118356e-01 9.260827234471751268e-01 2.966545406840721988e+00 2.414883704779210660e+00 0.000000000000000000e+00 -1.046310956993439118e+06
9.287944193637311108e-02 2.964963404715195705e-02 6.166858368963149539e-01 9.833689866302478544e-01 2.906575760760609750e+00 5.448903084846959954e-01 0.000000000000000000e+00 -1.607530568217823049e+06
1.424438195246686689e-01 2.246242412030015345e-02 7.491764506148745895e-01 9.265651280591922223e-01 2.137862189885291198e+00 2.071107000244349905e+00 0.000000000000000000e+00 -1.197691378934102133e+06
9.804391399375220195e-02 2.721666084471850017e-02 6.316766816740421175e-01 9.737457366344755005e-01 2.248551841556426734e+00 4.252877234522959293e-01 0.000000000000000000e+00 -3.645316468925151974e+06
1.091794751397483221e-01 2.414365698919980485e-02 6.284133746603561832e-01 9.883406408765392781e-01 2.837703123796124771e+00 5.944872083481447245e-01 0.000000000000000000e+00 -5.938743171607811237e+05
1.127907570360087985e-01 2.502009803103735774e-02 6.442831001053020978e-01 9.221411373196131134e-01 2.797561009931782916e+00 2.349431542838730014e+00 0.000000000000000000e+00 -1.323043832280129893e+06
1.365563921925052049e-01 1.575305020429756953e-02 7.257352652593328513e-01 9.647385667081616045e-01 2.461297986156524953e+00 2.141894987255378080e+00 0.000000000000000000e+00 -1.564244075814210810e+06
1.337094990398944305e-01 2.560726325072767290e-02 6.381050730123020154e-01 9.495590007052484571e-01 2.036137087809954949e+00 2.292083346968899260e+00 0.000000000000000000e+00 -1.136703824324301211e+06
1.150207523471143967e-01 2.071588412124710649e-02 6.386340283165466980e-01 9.905148634954352715e-01 2.471480818297341564e+00 3.197702117969868918e-01 0.000000000000000000e+00 -3.816694553659788333e+06
1.430818815814676737e-01 2.240039386324248552e-02 7.434961615802058166e-01 9.671723874645306029e-01 2.594356668909563179e+00 2.137681255343350184e+00 0.000000000000000000e+00 -1.591601098464417504e+06
