# loglike weights omch2 ombh2 h ns 10^9As b0
1.110970576143762156e-01 2.016194121130655478e-02 7.141902109683755384e-01 9.581097224115452393e-01 2.171143426412401212e+00 8.656622595807976772e-01 0.000000000000000000e+00 -1.591646931965235271e+05
1.016027716618930904e-01 2.317408976953711300e-02 7.493625333821569701e-01 9.956002780670289987e-01 2.934573416143152258e+00 5.798609048244758313e-01 0.000000000000000000e+00 -9.329865569837308722e+05
1.114295524015539995e-01 1.818082644182756127e-02 6.730759749318242502e-01 9.204536303228819660e-01 2.698417509796531277e+00 6.640124215240559291e-01 0.000000000000000000e+00 -3.970275437747681863e+05
1.335040176133532597e-01 2.524700324000348634e-02 7.296423487039440658e-01 9.828438582807278445e-01 2.204044757580246205e+00 1.420501140288113140e+00 0.000000000000000000e+00 -2.779505500287134200e+05
1.338031009103765323e-01 2.032033267826976672e-02 7.194269546050120478e-01 9.425862978403086734e-01 2.155944247596837116e+00 5.067502754297388279e-01 0.000000000000000000e+00 -1.231851308480246691e+06
1.406625032912407480e-01 2.456629183782545883e-02 7.235794483361045470e-01 9.426748322703707439e-01 2.535917663524487331e+00 5.375169169490860988e-01 0.000000000000000000e+00 -6.812766911706255050e+05
1.212444029498344622e-01 1.797612375904732163e-02 7.259405350084348063e-01 9.747534267019501986e-01 2.681794691727711566e+00 7.084883389847339563e-01 0.000000000000000000e+00 -1.405056214037484315e+05
1.090707498777675200e-01 2.675156026432227996e-02 7.054247935167872186e-01 9.850514504874489097e-01 2.462067642493750874e+00 1.484913696733647370e+00 0.000000000000000000e+00 -1.790717476225725259e+05
1.253894783071769214e-01 2.344910938394359490e-02 7.496866265078937497e-01 9.306645253424910003e-01 2.754986311951885369e+00 1.241808183246770447e+00 0.000000000000000000e+00 -1.966787337150301901e+05
1.507783182730916549e-01 2.371097528884484607e-02 6.581749907965541713e-01 9.897488473857888325e-01 2.774740206281500754e+00 1.294402543581329779e+00 0.000000000000000000e+00 -4.766615459787956788e+05
1.156855721455270214e-01 2.250861154014948545e-02 6.835619684524223416e-01 9.349447423878155528e-01 2.819888692937433383e+00 5.955039273817067658e-01 0.000000000000000000e+00 -6.242923250040131388e+05
1.174526497336681324e-01 1.831822896479799387e-02 6.853154557462608487e-01 9.520287497601754856e-01 2.965705421115324203e+00 6.455208196753763339e-01 0.000000000000000000e+00 -2.526771441759232839e+05
1.397178832971859297e-01 1.843219325342863521e-02 6.835706980104039321e-01 9.648921699446928457e-01 2.148665573520675220e+00 1.467544900264877050e+00 0.000000000000000000e+00 -4.261779826536600594e+05
9.938607676459079721e-02 2.049879381816191448e-02 6.468102626296667879e-01 9.221895370170343220e-01 2.133520022625766899e+00 5.136078245322397429e-01 0.000000000000000000e+00 -2.602123633615324274e+06
9.574190603515735087e-02 1.868716391070455313e-02 6.876508437828698916e-01 9.629560703529305155e-01 2.853486176580492195e+00 1.462774837828617169e+00 0.000000000000000000e+00 -2.167858994330579881e+05
1.390807980103437036e-01 2.002577761756249922e-02 6.694245180866066347e-01 9.799356117559208101e-01 2.910951390603794930e+00 5.971224358064926019e-01 0.000000000000000000e+00 -2.107265840079257905e+05
9.186908483669617431e-02 2.535286259136097092e-02 7.432647868235890964e-01 9.810630068296140038e-01 2.733945391701154026e+00 6.136836386368691443e-01 0.000000000000000000e+00 -1.334640578286672942e+06
1.108123432260813140e-01 2.273515247920479196e-02 6.926582215336258841e-01 9.321505844442078415e-01 2.468915637341624780e+00 5.062200437181195722e-01 0.000000000000000000e+00 -1.708726345190628199e+06
