1  2.71869	2.507541e+00	1.178939e-01	9.588909e-01	2.372516e+00	6.956247e-01	9.921186e-01	
4  2.85985	2.462843e+00	1.171033e-01	9.614264e-01	2.358019e+00	6.970358e-01	9.955195e-01	
1  3.82357	2.442826e+00	1.170351e-01	9.617435e-01	2.345596e+00	6.995444e-01	9.960739e-01	
3  3.82177	2.420474e+00	1.170821e-01	9.610687e-01	2.344762e+00	6.973239e-01	9.945648e-01	
1  3.4395	2.365946e+00	1.171328e-01	9.605315e-01	2.315634e+00	6.941020e-01	9.972908e-01	
2  3.63238	2.335565e+00	1.163715e-01	9.636573e-01	2.306953e+00	6.924238e-01	1.001397e+00	
2  3.71394	2.328717e+00	1.154044e-01	9.649415e-01	2.340854e+00	6.895354e-01	9.995903e-01	
1  5.5162	2.328717e+00	1.154044e-01	9.649415e-01	2.340854e+00	6.895354e-01	1.000143e+00	
1  6.47742	2.303075e+00	1.146004e-01	9.652367e-01	2.356733e+00	6.873664e-01	9.999368e-01	
1  7.60744	2.295107e+00	1.140635e-01	9.675193e-01	2.362167e+00	6.853732e-01	1.001519e+00	
1  7.67002	2.263866e+00	1.136221e-01	9.715353e-01	2.330605e+00	6.834950e-01	1.008853e+00	
1  7.27173	2.305770e+00	1.148519e-01	9.705752e-01	2.314036e+00	6.838389e-01	1.008721e+00	
3  7.3226	2.375308e+00	1.151478e-01	9.700360e-01	2.344196e+00	6.862169e-01	1.005478e+00	
1  7.11752	2.340146e+00	1.147856e-01	9.706392e-01	2.331847e+00	6.875038e-01	1.006925e+00	
1  5.09475	2.328448e+00	1.148898e-01	9.686927e-01	2.324069e+00	6.871782e-01	1.007822e+00	
1  7.70893	2.404649e+00	1.147092e-01	9.713894e-01	2.352635e+00	6.875337e-01	1.008792e+00	
2  8.05625	2.347761e+00	1.137363e-01	9.705648e-01	2.369066e+00	6.859457e-01	1.006535e+00	
3  5.86896	2.391176e+00	1.147366e-01	9.678730e-01	2.350711e+00	6.888964e-01	1.008558e+00	
3  5.75629	2.352528e+00	1.143436e-01	9.666219e-01	2.344247e+00	6.879271e-01	1.009891e+00	
1  5.44747	2.330288e+00	1.143743e-01	9.661374e-01	2.331464e+00	6.902428e-01	1.009940e+00	
1  6.03342	2.336972e+00	1.145731e-01	9.664622e-01	2.317755e+00	6.939146e-01	1.011305e+00	
3  4.259	2.333984e+00	1.149994e-01	9.647505e-01	2.317351e+00	6.920206e-01	1.009222e+00	
3  5.6466	2.333984e+00	1.149994e-01	9.647505e-01	2.317351e+00	6.920206e-01	1.009526e+00	
3  5.71829	2.366596e+00	1.156106e-01	9.655500e-01	2.291559e+00	6.961876e-01	1.013419e+00	
2  4.84507	2.366596e+00	1.156106e-01	9.655500e-01	2.291559e+00	6.961876e-01	1.013083e+00	
1  7.08703	2.377269e+00	1.160168e-01	9.649881e-01	2.271605e+00	7.008182e-01	1.014969e+00	
4  5.84837	2.391650e+00	1.168139e-01	9.604007e-01	2.279536e+00	7.026060e-01	1.009586e+00	
2  5.67403	2.435531e+00	1.174027e-01	9.633628e-01	2.263725e+00	7.048550e-01	1.012060e+00	
1  5.07203	2.487566e+00	1.182970e-01	9.611825e-01	2.267863e+00	7.080791e-01	1.009570e+00	
2  5.54143	2.500920e+00	1.190803e-01	9.592601e-01	2.261642e+00	7.093230e-01	1.007031e+00	
1  6.13888	2.500920e+00	1.190803e-01	9.592601e-01	2.261642e+00	7.093230e-01	1.006886e+00	
